image_id,relative_path,participant_id,session_id,split,face_count,width,height,consent_confirmed
Akshay Kumar_0,processed\train\Akshay Kumar\Akshay Kumar_0.jpg,Akshay Kumar,session_01,train,1,800,1150,True
Akshay Kumar_1,processed\train\Akshay Kumar\Akshay Kumar_1.jpg,Akshay Kumar,session_01,train,1,675,675,True
Akshay Kumar_11,processed\train\Akshay Kumar\Akshay Kumar_11.jpg,Akshay Kumar,session_01,train,1,1000,800,True
Akshay Kumar_12,processed\test\Akshay Kumar\Akshay Kumar_12.jpg,Akshay Kumar,session_01,test,1,1280,720,True
Akshay Kumar_13,processed\validation\Akshay Kumar\Akshay Kumar_13.jpg,Akshay Kumar,session_01,validation,1,750,563,True
Akshay Kumar_14,processed\train\Akshay Kumar\Akshay Kumar_14.jpg,Akshay Kumar,session_01,train,1,1920,1080,True
Akshay Kumar_15,processed\train\Akshay Kumar\Akshay Kumar_15.jpg,Akshay Kumar,session_01,train,1,1000,826,True
Akshay Kumar_16,processed\train\Akshay Kumar\Akshay Kumar_16.jpg,Akshay Kumar,session_01,train,1,670,447,True
Akshay Kumar_17,processed\train\Akshay Kumar\Akshay Kumar_17.jpg,Akshay Kumar,session_01,train,1,770,433,True
Akshay Kumar_18,processed\test\Akshay Kumar\Akshay Kumar_18.jpg,Akshay Kumar,session_01,test,1,800,420,True
Akshay Kumar_19,processed\test\Akshay Kumar\Akshay Kumar_19.jpg,Akshay Kumar,session_01,test,1,736,991,True
Akshay Kumar_2,processed\validation\Akshay Kumar\Akshay Kumar_2.jpg,Akshay Kumar,session_01,validation,1,759,422,True
Akshay Kumar_20,processed\validation\Akshay Kumar\Akshay Kumar_20.jpg,Akshay Kumar,session_01,validation,1,725,483,True
Akshay Kumar_21,processed\train\Akshay Kumar\Akshay Kumar_21.jpg,Akshay Kumar,session_01,train,1,800,448,True
Akshay Kumar_22,processed\train\Akshay Kumar\Akshay Kumar_22.jpg,Akshay Kumar,session_01,train,1,670,990,True
Akshay Kumar_23,processed\train\Akshay Kumar\Akshay Kumar_23.jpg,Akshay Kumar,session_01,train,1,1280,720,True
Akshay Kumar_25,processed\train\Akshay Kumar\Akshay Kumar_25.jpg,Akshay Kumar,session_01,train,1,715,476,True
Akshay Kumar_28,processed\train\Akshay Kumar\Akshay Kumar_28.jpg,Akshay Kumar,session_01,train,1,670,595,True
Akshay Kumar_29,processed\test\Akshay Kumar\Akshay Kumar_29.jpg,Akshay Kumar,session_01,test,1,1280,720,True
Akshay Kumar_3,processed\train\Akshay Kumar\Akshay Kumar_3.jpg,Akshay Kumar,session_01,train,1,768,1024,True
Akshay Kumar_32,processed\train\Akshay Kumar\Akshay Kumar_32.jpg,Akshay Kumar,session_01,train,1,474,266,True
Akshay Kumar_33,processed\validation\Akshay Kumar\Akshay Kumar_33.jpg,Akshay Kumar,session_01,validation,1,1280,720,True
Akshay Kumar_34,processed\train\Akshay Kumar\Akshay Kumar_34.jpg,Akshay Kumar,session_01,train,1,640,854,True
Akshay Kumar_35,processed\validation\Akshay Kumar\Akshay Kumar_35.jpg,Akshay Kumar,session_01,validation,1,474,315,True
Akshay Kumar_36,processed\train\Akshay Kumar\Akshay Kumar_36.jpg,Akshay Kumar,session_01,train,1,770,433,True
Akshay Kumar_37,processed\validation\Akshay Kumar\Akshay Kumar_37.jpg,Akshay Kumar,session_01,validation,1,474,328,True
Akshay Kumar_38,processed\test\Akshay Kumar\Akshay Kumar_38.jpg,Akshay Kumar,session_01,test,1,474,343,True
Akshay Kumar_39,processed\train\Akshay Kumar\Akshay Kumar_39.jpg,Akshay Kumar,session_01,train,1,620,450,True
Akshay Kumar_4,processed\train\Akshay Kumar\Akshay Kumar_4.jpg,Akshay Kumar,session_01,train,1,600,400,True
Akshay Kumar_40,processed\train\Akshay Kumar\Akshay Kumar_40.jpg,Akshay Kumar,session_01,train,1,382,543,True
Akshay Kumar_41,processed\validation\Akshay Kumar\Akshay Kumar_41.jpg,Akshay Kumar,session_01,validation,1,670,1103,True
Akshay Kumar_42,processed\test\Akshay Kumar\Akshay Kumar_42.jpg,Akshay Kumar,session_01,test,1,416,416,True
Akshay Kumar_43,processed\train\Akshay Kumar\Akshay Kumar_43.jpg,Akshay Kumar,session_01,train,1,400,505,True
Akshay Kumar_44,processed\test\Akshay Kumar\Akshay Kumar_44.jpg,Akshay Kumar,session_01,test,1,1280,720,True
Akshay Kumar_45,processed\train\Akshay Kumar\Akshay Kumar_45.jpg,Akshay Kumar,session_01,train,1,1280,720,True
Akshay Kumar_46,processed\validation\Akshay Kumar\Akshay Kumar_46.jpg,Akshay Kumar,session_01,validation,1,1334,1600,True
Akshay Kumar_47,processed\train\Akshay Kumar\Akshay Kumar_47.jpg,Akshay Kumar,session_01,train,1,620,450,True
Akshay Kumar_48,processed\train\Akshay Kumar\Akshay Kumar_48.jpg,Akshay Kumar,session_01,train,1,1200,675,True
Akshay Kumar_49,processed\train\Akshay Kumar\Akshay Kumar_49.jpg,Akshay Kumar,session_01,train,1,1900,1200,True
Akshay Kumar_5,processed\test\Akshay Kumar\Akshay Kumar_5.jpg,Akshay Kumar,session_01,test,1,1920,1080,True
Akshay Kumar_6,processed\train\Akshay Kumar\Akshay Kumar_6.jpg,Akshay Kumar,session_01,train,1,620,450,True
Akshay Kumar_7,processed\train\Akshay Kumar\Akshay Kumar_7.jpg,Akshay Kumar,session_01,train,1,620,450,True
Akshay Kumar_8,processed\train\Akshay Kumar\Akshay Kumar_8.jpg,Akshay Kumar,session_01,train,1,558,783,True
Akshay Kumar_9,processed\train\Akshay Kumar\Akshay Kumar_9.jpg,Akshay Kumar,session_01,train,1,500,814,True
Alexandra Daddario_0,processed\test\Alexandra Daddario\Alexandra Daddario_0.jpg,Alexandra Daddario,session_01,test,1,853,1280,True
